Company,Symbol,Exchange,Ex_Date,Record_Date,Dividend_Rs,LTP_INR,Dividend_Yield_Percent,PE_Ratio,Buy_NotBuy_Indicator,Buy_Zone_INR,Sell_Target_INR,Stop_Loss_INR,Notes
GM Breweries,GMBREW,NSE/BSE,2026-05-21,2026-05-21,9.00,924.00,0.97,16.70,ACCUMULATE,895-924,980-1020,870,Small-cap volatility
ITC Hotels,ITCHOTELS,NSE/BSE,2026-05-21,2026-05-21,1.00,153.52,0.65,36.50,WATCH,149-154,165-172,145,Valuation not cheap
Pearl Global Industries,PGIL,NSE/BSE,2026-05-21,2026-05-21,8.50,1591.60,0.91,26.40,ACCUMULATE,1540-1592,1710-1785,1490,Textile export cyclicality
Larsen & Toubro,LT,NSE/BSE,2026-05-22,2026-05-22,38.00,3910.70,0.97,31.40,WATCH/ACCUMULATE,3790-3911,4220-4380,3670,Large-cap EPC
Jupiter Life Line Hospitals,JLHL,NSE/BSE,2026-05-22,2026-05-22,1.00,1318.00,0.08,43.70,WATCH,1275-1318,1410-1475,1235,Live quote refreshed from Screener
L&T Finance,LTF,NSE/BSE,2026-05-22,2026-05-22,2.75,275.65,1.00,23.00,ACCUMULATE,268-276,300-320,258,NBFC cycle risk
L&T Technology Services,LTTS,NSE/BSE,2026-05-22,2026-05-22,40.00,3580.60,1.62,28.10,ACCUMULATE,3470-3581,3900-4100,3360,ER&D services
Havells India,HAVELLS,NSE/BSE,2026-05-22,2026-05-24,6.00,1207.80,0.83,44.80,WATCH,1170-1208,1290-1350,1130,Premium valuation
Himadri Speciality Chemical,HSCL,NSE/BSE,2026-05-22,2026-05-22,0.80,581.00,0.14,39.00,WATCH,560-581,620-650,542,Live quote refreshed from Screener
Jindal Saw,JINDALSAW,NSE/BSE,2026-05-22,2026-05-22,2.00,220.00,0.91,14.30,WATCH,212-220,238-250,204,Live quote refreshed from Screener
Maithan Alloys,MAITHANALL,NSE/BSE,2026-05-22,2026-05-22,11.00,962.00,1.66,6.46,WATCH/ACCUMULATE,928-962,1030-1085,895,Live quote refreshed from Screener
Sula Vineyards,SULA,NSE/BSE,2026-05-22,2026-05-22,2.00,160.00,1.25,50.10,WATCH,154-160,172-180,148,Live quote refreshed from Screener
Trident,TRIDENT,NSE/BSE,2026-05-22,2026-05-23,0.50,24.27,2.06,32.80,WATCH,23.5-24.3,26.5-28.0,22.8,High volatility
Vinyl Chemicals (India),VINYLINDIA,NSE/BSE,2026-05-22,2026-05-22,7.00,283.00,2.47,41.20,WATCH,273-283,305-320,264,Live quote refreshed from Screener
Tata Consultancy Services,TCS,NSE/BSE,2026-05-25,2026-05-25,31.00,2327.40,2.75,16.10,BUY/ACCUMULATE,2250-2327,2550-2700,2175,Defensive large-cap
Tata Consumer Products,TATACONSUM,NSE/BSE,2026-05-25,2026-05-25,10.00,1208.70,0.83,77.90,NOT BUY,Wait below 1120,1300-1360,1100,Rich valuation
Dhampur Sugar Mills,DHAMPURSUG,NSE/BSE,2026-05-26,2026-05-26,2.00,144.00,1.39,13.60,WATCH,139-144,155-164,134,Live quote refreshed from Screener
GPT Infraprojects,GPTINFRA,NSE/BSE,2026-05-26,2026-05-26,1.00,120.00,2.50,15.60,WATCH,116-120,130-136,112,Live quote refreshed from Screener
Hatsun Agro Product,HATSUN,NSE/BSE,2026-05-26,2026-05-26,10.00,939.00,1.06,60.00,WATCH,906-939,1005-1060,875,Live quote refreshed from Screener
IRB Infrastructure Developers,IRB,NSE/BSE,2026-05-26,2026-05-26,0.05,21.10,0.73,29.00,WATCH,20.4-21.1,22.7-24.0,19.7,Live quote refreshed from Screener
Capital Infra Trust,CAPINVIT,NSE/BSE,2026-05-27,2026-05-27,2.40,72.24,3.32,4.35,ACCUMULATE,71-72,77-81,69,Manual verified include: user-requested CAPINVIT (Dividend Rs 2.40, LTP near 72.24)
Bajaj Auto,BAJAJ-AUTO,NSE/BSE,2026-05-29,2026-05-29,150.00,10462.00,1.43,27.10,WATCH/ACCUMULATE,10100-10462,11200-11800,9750,High absolute dividend; live quote refreshed from Screener
Bank of India,BANKINDIA,NSE/BSE,2026-05-29,2026-05-29,4.65,139.00,3.34,5.93,WATCH/ACCUMULATE,134-139,148-156,129,Banking sector; live quote refreshed from Screener
BCPL Railway Infrastructure,BCPL,NSE/BSE,2026-05-29,2026-05-29,1.00,70.50,1.42,18.30,WATCH,68-70.5,76-80,65.5,Live quote refreshed from Screener
Caplin Point Laboratories,CAPLIPOINT,NSE/BSE,2026-05-29,2026-05-30,4.00,2017.00,0.30,23.90,WATCH,1950-2017,2160-2280,1885,Live quote refreshed from Screener
Eris Lifesciences,ERIS,NSE/BSE,2026-05-29,2026-05-29,7.21,1458.00,0.50,32.00,WATCH,1410-1458,1560-1640,1365,Live quote refreshed from Screener
GlaxoSmithKline Pharmaceuticals,GLAXO,NSE/BSE,2026-05-29,2026-05-29,57.00,2347.00,2.43,39.00,WATCH,2270-2347,2500-2620,2190,Live quote refreshed from Screener
ICICI Lombard General Insurance,ICICIGI,NSE/BSE,2026-05-29,2026-05-29,7.00,1785.00,0.76,32.10,WATCH,1725-1785,1910-2000,1665,Live quote refreshed from Screener
UNO Minda,UNOMINDA,NSE/BSE,2026-05-29,2026-05-29,1.75,1056.00,0.25,50.10,WATCH,1020-1056,1130-1185,985,Live quote refreshed from Screener
Siyaram Silk Mills,SIYSIL,NSE/BSE,2026-05-25,2026-05-25,4.00,573.00,2.09,11.30,WATCH/ACCUMULATE,553-573,615-650,533,Special dividend; live quote refreshed from Screener
Epigral,EPIGRAL,NSE/BSE,2026-06-01,2026-06-01,5.00,1240.00,0.40,16.10,WATCH/ACCUMULATE,1195-1240,1330-1400,1150,Live quote refreshed from Screener
